Area,Date,Images,GEWIDTH,GMWIDTH,GMHEIGHT,URL,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Adirondack Sub-alpine Forest,11/16/01,Adirondack.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/7404.html'},-74.16941719,44.04909737,"{'latitude': '44.0490973692', 'longitude': '-74.1694171938'}",438,,2084
Albany Pine Bush,9/18/08,Albany.jpg,175,0,0,{'url': 'http://www.dec.ny.gov/animals/48628.html'},-73.88628273,42.71791823,"{'latitude': '42.7179182268', 'longitude': '-73.8862827294'}",832,1229,2030
Ashland,5/6/03,Ashland.jpg,300,160,120,{'url': 'http://www.dec.ny.gov/animals/27725.html'},-76.19942508,44.11300268,"{'latitude': '44.1130026784', 'longitude': '-76.1994250785'}",848,1483,2089
Bashakill,6/16/00,Bashakill.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/27702.html'},-74.50683426,41.54514019,"{'latitude': '41.5451401943', 'longitude': '-74.5068342639'}",653,780,2180
Bear Swamp,9/25/06,Bear.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/31803.html'},-76.29928363,42.75164524,"{'latitude': '42.7516452379', 'longitude': '-76.2992836292'}",71,662,618
Black Creek Marsh,9/25/06,Black.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/31815.html'},-73.96302309,42.66624094,"{'latitude': '42.6662409369', 'longitude': '-73.9630230899'}",832,16,2030
Braddock Bay,5/5/00,Braddock.jpeg,250,175,117,{'url': 'http://www.dec.ny.gov/animals/27691.html'},-77.6942944,43.27405953,"{'latitude': '43.274059525', 'longitude': '-77.6942944027'}",548,1670,2093
Buckhorn Island,8/31/98,Buckhorn.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/27685.html'},-78.98808169,43.0618647,"{'latitude': '43.0618647012', 'longitude': '-78.9880816874'}",290,526,2041
Carlton Hill,9/25/06,Carlton.jpeg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/31821.html'},-78.15279531,42.8448545,"{'latitude': '42.8448544998', 'longitude': '-78.152795305'}",396,1659,2186
Carter's Pond,10/22/02,Carter.jpg,0,0,0,{'url': 'http://www.dec.ny.gov/animals/27658.html'},-73.42037712,43.17290546,"{'latitude': '43.1729054599', 'longitude': '-73.4203771164'}",724,146,2184
